journal_name,subject_area,print_number,online_number,journal_link
Interdisciplinary Materials,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials,2767-4401,2767-441X,https://doaj.org/toc/2767-4401
Energy Advances,"Technology: Electrical engineering. Electronics. Nuclear engineering: Production of electric energy or power. Powerplants. Central stations
Technology: Chemical technology: Fuel",,2753-1457,https://doaj.org/toc/2753-1457
Plant Signaling & Behavior,"Science: Botany: Plant ecology
Science: Biology (General)",1559-2316,1559-2324,https://doaj.org/toc/1559-2316
Ekotemas                            Ekotemas: Revista Cubana de Ciencias Económicas,Social Sciences: Economic theory. Demography: Economics as a science,,2414-4681,https://doaj.org/toc/2414-4681
Botanica,"Science: Biology (General)
Science: Microbiology",2538-8649,2538-8657,https://doaj.org/toc/2538-8649
"International Journal of Electrical, Energy and Power System Engineering                            IJEEPSE","Technology: Electrical engineering. Electronics. Nuclear engineering
Technology: Technology (General): Industrial engineering. Management engineering: Information technology",,2654-4644,https://doaj.org/toc/2654-4644
Gusau Journal of Accounting and Finance,Social Sciences: Finance,2756-665X,2756-6897,https://doaj.org/toc/2756-665X
Jurnal Serambi Engineering                            Serambi Engineering,Technology: Environmental technology. Sanitary engineering,2528-3561,2541-1934,https://doaj.org/toc/2528-3561
Journal of Governance Risk Management Compliance and Sustainability                            JGRCS,Social Sciences: Industries. Land use. Labor: Management. Industrial management: Risk in industry. Risk management,2776-8848,2776-9658,https://doaj.org/toc/2776-8848
Trends in Computational and Applied Mathematics,Science: Mathematics,,2676-0029,https://doaj.org/toc/2676-0029
Muhasebe Enstitüsü Dergisi                            Journal of Accounting Institute,Social Sciences: Finance,2602-3202,2667-6982,https://doaj.org/toc/2602-3202
Journal of Industrial Microbiology and Biotechnology,"Technology: Chemical technology: Biotechnology
Science: Microbiology",1367-5435,1476-5535,https://doaj.org/toc/1367-5435
"Andalasian International Journal of Applied Science, Engineering, and Technology                            AIJASET","Technology: Engineering (General). Civil engineering (General)
Technology: Technology (General)",,2797-0442,https://doaj.org/toc/2797-0442
Advanced Membranes,Technology: Chemical technology: Chemical engineering,,2772-8234,https://doaj.org/toc/2772-8234
Multimodal Transportation,Technology: Engineering (General). Civil engineering (General): Transportation engineering,,2772-5863,https://doaj.org/toc/2772-5863
Complex System Modeling and Simulation,"Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Technology: Engineering (General). Civil engineering (General): Systems engineering",2096-9929,,https://doaj.org/toc/2096-9929
مجلة المختار للعلوم                            Al-Mukhtar Journal of Sciences,Science,2617-2178,2617-2186,https://doaj.org/toc/2617-2178
Debates en Sociología,Social Sciences,0254-9220,2304-4284,https://doaj.org/toc/0254-9220
Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang                            JPKM,Social Sciences: Communities. Classes. Races: Human settlements. Communities,2721-138X,2548-7159,https://doaj.org/toc/2721-138X
Cleaner Chemical Engineering,Technology: Chemical technology: Chemical engineering,,2772-7823,https://doaj.org/toc/2772-7823
آینده پژوهی ایران                            Journal of Iran Futures Studies,"Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",2676-6191,2676-6183,https://doaj.org/toc/2676-6191
IEEE Open Journal of the Solid-State Circuits Society,Technology: Electrical engineering. Electronics. Nuclear engineering: Electric apparatus and materials. Electric circuits. Electric networks,,2644-1349,https://doaj.org/toc/2644-1349
Journal of Social Computing,"Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Social Sciences: Social sciences (General)",,2688-5255,https://doaj.org/toc/2688-5255
Banber Erevani Hamalsarani. Sots'iologia                            Journal of Sociology: Bulletin of Yerevan University,Social Sciences: Sociology (General),2579-2938,2738-263X,https://doaj.org/toc/2579-2938
Natural Hazards Research                            NHRES,"Science: Geology
Science: Physics: Geophysics. Cosmic physics",,2666-5921,https://doaj.org/toc/2666-5921
"Science, Engineering and Technology                            SET Journal","Science
Technology",,2744-2527,https://doaj.org/toc/2744-2527
Scientia et Securitas,"Social Sciences: Social sciences (General)
Science: Science (General)
Technology: Technology (General): Industrial engineering. Management engineering: Management information systems",,2732-2688,https://doaj.org/toc/2732-2688
PLOS Climate,Science: Physics: Meteorology. Climatology,,2767-3200,https://doaj.org/toc/2767-3200
Intelligent and Converged Networks,Technology: Electrical engineering. Electronics. Nuclear engineering: Telecommunication,,2708-6240,https://doaj.org/toc/2708-6240
"Groups, Geometry, and Dynamics",Science: Mathematics,1661-7207,1661-7215,https://doaj.org/toc/1661-7207
Interfaces and Free Boundaries,Science: Mathematics,1463-9963,1463-9971,https://doaj.org/toc/1463-9963
Quantum Topology,"Science: Mathematics
Science: Physics",1663-487X,1664-073X,https://doaj.org/toc/1663-487X
Jurnal Teknologi Komputer dan Sistem Informasi                            JTKSI,Technology: Technology (General): Industrial engineering. Management engineering: Information technology,2620-3022,2620-3030,https://doaj.org/toc/2620-3022
AGU Advances,"Science: Geology
Science: Physics: Geophysics. Cosmic physics",,2576-604X,https://doaj.org/toc/2576-604X
Anuario Facultad de Ciencias Económicas y Empresariales,Social Sciences: Economic theory. Demography: Economics as a science,,2218-3639,https://doaj.org/toc/2218-3639
EMS Surveys in Mathematical Sciences,Science: Mathematics,2308-2151,2308-216X,https://doaj.org/toc/2308-2151
German Journal of Microbiology,Science: Microbiology,,2749-0149,https://doaj.org/toc/2749-0149
Journal of Combinatorial Algebra,Science: Mathematics,2415-6302,2415-6310,https://doaj.org/toc/2415-6302
Journal of Noncommutative Geometry,Science: Mathematics,1661-6952,1661-6960,https://doaj.org/toc/1661-6952
Journal of Fractal Geometry,Science: Mathematics,2308-1309,2308-1317,https://doaj.org/toc/2308-1309
International Journal of Applied Research in Business and Management,Social Sciences: Commerce: Business,,2700-8983,https://doaj.org/toc/2700-8983
BIOS                            BIOS: Jurnal Teknologi Informasi dan Rekayasa Komputer,"Technology: Technology (General): Industrial engineering. Management engineering: Information technology
Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware",,2722-0850,https://doaj.org/toc/2722-0850
The Bioscientist,Science: Biology (General),2630-7103,2630-7111,https://doaj.org/toc/2630-7103
Iraqi Journal of Physics                            المجلة العراقیة للفیزیاء,Science: Physics,2070-4003,2664-5548,https://doaj.org/toc/2070-4003
المجلة العراقية الوطنية لعلوم الارض                            Iraqi National Journal of Earth Science,Science: Geology,1682-3222,2664-2816,https://doaj.org/toc/1682-3222
Jurnal Riset Biologi dan Aplikasinya,Science: Biology (General),,2655-9927,https://doaj.org/toc/2655-9927
Jurnal Data Mining dan Sistem Informasi                            JDMSI,Science: Mathematics: Instruments and machines: Electronic computers. Computer science,2745-8458,2775-9660,https://doaj.org/toc/2745-8458
Journal of Bio-Based Marketing,Technology: Chemical technology: Biotechnology,,2683-0825,https://doaj.org/toc/2683-0825
Journal of Bioscience and Applied Research,"Science: Chemistry: Organic chemistry: Biochemistry
Science: Microbiology
Science: Biology (General)",2356-9174,2356-9182,https://doaj.org/toc/2356-9174
Jurnal Teknologi dan Sistem Tertanam,Technology,,2745-9500,https://doaj.org/toc/2745-9500
iRASD Journal of Energy & Environment,"Social Sciences: Industries. Land use. Labor: Special industries and trades: Energy industries. Energy policy. Fuel trade
Technology: Mechanical engineering and machinery: Energy conservation
Technology: Mechanical engineering and machinery: Renewable energy sources
Technology: Engineering (General). Civil engineering (General): Environmental engineering",2790-573X,2790-5748,https://doaj.org/toc/2790-573X
Chemica                            Chemica: Jurnal Teknik Kimia,Technology: Chemical technology: Chemical engineering,2355-875X,2355-8776,https://doaj.org/toc/2355-875X
المجلة العراقية للعلوم الاحصائية                            Iraqi Journal of Statistical Sciences,Science: Mathematics: Probabilities. Mathematical statistics,1680-855X,2664-2956,https://doaj.org/toc/1680-855X
Acta Botanica Mexicana,Science: Botany,0187-7151,2448-7589,https://doaj.org/toc/0187-7151
Journal of Natural & Applied Sciences Pakistan,"Science: Mathematics
Science: Physics
Science: Chemistry
Science: Geology
Science: Biology (General)
Science: Science (General)",2663-6328,2664-4584,https://doaj.org/toc/2663-6328
Romanian Journal of Petroleum & Gas Technology,"Technology: Technology (General)
Science",2734-5319,2972-0370,https://doaj.org/toc/2734-5319
Tetsu to Hagane                            鉄と鋼,"Technology: Chemical technology
Technology: Engineering (General). Civil engineering (General): Environmental engineering",0021-1575,1883-2954,https://doaj.org/toc/0021-1575
Journal of MMIJ,"Technology: Mining engineering. Metallurgy
Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials",1881-6118,1884-0450,https://doaj.org/toc/1881-6118
Nihon Kikai Gakkai ronbunshu                            Transactions of the JSME (in Japanese),"Technology: Mechanical engineering and machinery
Technology: Engineering (General). Civil engineering (General): Engineering machinery, tools, and implements",,2187-9761,https://doaj.org/toc/2187-9761
"Iranian Journal of Accounting, Auditing & Finance                            IJAAF","Social Sciences: Commerce: Business: Accounting. Bookkeeping
Social Sciences: Finance",2717-4131,2588-6142,https://doaj.org/toc/2717-4131
RNA Biology,Science: Biology (General): Genetics,1547-6286,1555-8584,https://doaj.org/toc/1547-6286
Jurnal Teknologi Informasi dan Pendidikan,Technology: Technology (General): Industrial engineering. Management engineering: Information technology,2086-4981,2620-6390,https://doaj.org/toc/2086-4981
